1.  **Initialize the Constraint Satisfaction Problem:**  
    *   Import the `Problem` and `AllDifferentConstraint` classes from the `constraint` library.  
    *   Create an instance of the `Problem` class to model the puzzle.

2.  **Define Variables and Domain:**  
    *   Identify the five books as variables: `"blue"`, `"purple"`, `"yellow"`, `"red"`, and `"gray"`.  
    *   Define the domain for each variable as integers 1 to 5, where **1 = leftmost** and **5 = rightmost**.  
    *   Add all variables with their domain to the `Problem` instance.

3.  **Formulate and Add Constraints:**  
    *   Add an `AllDifferentConstraint` to enforce uniqueness of positions.  
    *   Translate each statement into a constraint using `addConstraint` with lambda functions:  
        *   "The yellow book is to the right of the gray book" → `yellow > gray`  
        *   "The purple book is to the left of the gray book" → `purple < gray`  
        *   "The red book is to the right of the blue book" → `red > blue`  
        *   "The purple book is the third from the left" → `purple == 3`

4.  **Solve the Problem:**  
    *   Call `getSolutions()` to retrieve all valid assignments.  
    *   Extract the unique solution (a dictionary mapping book names to positions).

5.  **Identify the Leftmost Book:**  
    *   The question asks which book is leftmost (i.e., has position 1).  
    *   Create a mapping from choice letters to book names:  
        `{"A": "blue", "B": "purple", "C": "yellow", "D": "red", "E": "gray"}`.  
    *   Iterate through the solution to find which book has position 1.  
    *   Return the choice letter corresponding to that book as the answer.
