dataset,sample_id,path_index,experiment_id,shots_in_icl,icl_sample_source,sketch_gen_model,code_gen_model,has_sketch,raw_output,parsed_output,true_label,is_correct,is_syntax_error,solver_error_type,is_solver_timeout,is_runtime_error,is_syntax_parse_error,pruned_by_existence,existence_pruning_result,pruned_by_uniqueness,uniqueness_pruning_result,existence_uniqueness_pruning_result
AR-LSAT,201310_3-G_3_17,0,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,1,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,2,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,3,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",4,False,False,,False,False,False,False,"[0, 1, 2, 3, 4]",True,,
AR-LSAT,201310_3-G_3_17,4,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,4,[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,5,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[0, 4]","[0, 4]",4,False,False,,False,False,False,False,"[0, 4]",True,,
AR-LSAT,201310_3-G_3_17,6,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,7,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[0, 4]","[0, 4]",4,False,False,,False,False,False,False,"[0, 4]",True,,
AR-LSAT,201310_3-G_3_17,8,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,9,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,10,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,11,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,12,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,13,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201310_3-G_3_17,14,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[4],[4],4,True,False,,False,False,False,False,[4],False,[4],[4]
AR-LSAT,201110_2-G_1_5,0,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,1,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,2,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
